District,Building name,Last date of visit of the case(s),Related cases
Sha Tin,"Block 11, Monte Vista",17/07/2022,
Sha Tin,"Tower 5, Vista Paradiso",17/07/2022,
Sha Tin,"Block 3, Baycrest",17/07/2022,
Sha Tin,"Block D, Scenery Garden",17/07/2022,
Sha Tin,"Block 6, Double Cove Grandview",17/07/2022,
Sha Tin,"Block 1, Double Cove",17/07/2022,
Sha Tin,"Tower 7, Lake Silver",17/07/2022,
Sha Tin,"Tower 4, Park Belvedere",17/07/2022,
Sha Tin,Archie Garden,17/07/2022,
Sha Tin,"Postgraduate Hall 1, The Chinese University of Hong Kong",17/07/2022,
Sha Tin,"Bauhinia Court, World-Wide Gardens",16/07/2022,
Sha Tin,Tsok Pok Hang San Tsuen,16/07/2022,
Sha Tin,"Block 7, Peak One",16/07/2022,
Sha Tin,Tai Che Village,16/07/2022,
Sha Tin,"Tower 3A, Oceanaire",16/07/2022,
Sha Tin,"Block 11, Chevalier Garden",16/07/2022,
Sha Tin,"Manhattan Heights, Belair Gardens",16/07/2022,
Sha Tin,"Block 7, Castello",16/07/2022,
Sha Tin,"Yue Kin House, Yue Tin Court",16/07/2022,
Sha Tin,"Block B, Sunshine City",16/07/2022,
Sha Tin,Haywood Villa,16/07/2022,
Sha Tin,Sha Tin Wai New Village,16/07/2022,
Sha Tin,"Block 21, City One Shatin",16/07/2022,
Sha Tin,"Block 30, City One Shatin",16/07/2022,
Sha Tin,Sha Tin Tau New Village,16/07/2022,
Sha Tin,"Delite Court, Pictorial Garden",16/07/2022,
Sha Tin,"Block 2, Fok On Garden",16/07/2022,
Sha Tin,"Mei Wo House, Wo Che Estate",16/07/2022,
Sha Tin,"Shek Ying House, Chun Shek Estate",16/07/2022,
Sha Tin,"Tower 2, Green Height Villa",16/07/2022,
Sha Tin,"Block A, Garden Vista",16/07/2022,
Sha Tin,Green Leaves Garden,16/07/2022,
Sha Tin,"Tower 11, Vista Paradiso",16/07/2022,
Sha Tin,"Block 20, Double Cove Starview",16/07/2022,
Sha Tin,"Block 2, Kam Shan Building",16/07/2022,
Sha Tin,"Golden Fullness Court, Golden Lion Garden",16/07/2022,
Sha Tin,"Golden Harvest Court, Golden Lion Garden",16/07/2022,
Sha Tin,"Tower 5, Lake Silver",16/07/2022,
Sha Tin,"Kam Kei House, Kam Tai Court",16/07/2022,
Sha Tin,HSUHK Jockey Club Residential Colleges,16/07/2022,
Sha Tin,Chun Cheung Court,16/07/2022,
Sha Tin,"Block 2, La Costa",15/07/2022,
Sha Tin,"Tower 3B, Oceanaire",15/07/2022,
Sha Tin,"Shung Lam Court, Lucky Plaza",15/07/2022,
Sha Tin,"Yae Lam Court, Lucky Plaza",15/07/2022,
Sha Tin,"Tower 3, Sausalito",15/07/2022,
Sha Tin,Godi,15/07/2022,
Sha Tin,"Block Q, Sunshine City",15/07/2022,
Sha Tin,"24 Ha Keng Hau, Sha Tin, Nt",15/07/2022,
Sha Tin,"37 Ha Keng Hau, Sha Tin, Nt",15/07/2022,
Sha Tin,Tsang Tai Uk,15/07/2022,
Sha Tin,Tsang Tai Uk New Village,15/07/2022,
Sha Tin,"Block 7, City One Shatin",15/07/2022,
Sha Tin,"Block C, Garden Rivera",15/07/2022,
Sha Tin,"Block 2, Bayshore Towers",15/07/2022,
Sha Tin,Ngau Pei Sha New Village,15/07/2022,
Sha Tin,"Tower 2, Court C, Dragons Range",15/07/2022,
Sha Tin,"Forum Court, Pictorial Garden",15/07/2022,
Sha Tin,"Oriental Heights, Shatin 33",15/07/2022,
Sha Tin,Cheung Fung Mansion,15/07/2022,
Sha Tin,"Block 2, Monte Vista",15/07/2022,
Sha Tin,"Wing 1, The Met. Acappella",15/07/2022,
Sha Tin,Chek Nai Ping,15/07/2022,
Sha Tin,"Block 25, Double Cove Starview Prime",15/07/2022,
Sha Tin,"Block 20, Double Cove",15/07/2022,
Sha Tin,"Block 23, Double Cove",15/07/2022,
Sha Tin,"Golden Mascot Court, Golden Lion Garden",15/07/2022,
Sha Tin,"Tower 1, Lake Silver",15/07/2022,
Sha Tin,"Jubilee Court, Jubilee Garden",15/07/2022,
Sha Tin,"Kam Lai House, Kam Tai Court",15/07/2022,
Sha Tin,"Lung Yan House, Kam Lung Court",15/07/2022,
Sha Tin,"Block 4, Carado Garden",15/07/2022,
Sha Tin,"Hin Kwai House, Hin Keng Estate",15/07/2022,
Sha Tin,"Daisy Li Hall, New Asia College, The Chinese University of Hong Kong",15/07/2022,
Sha Tin,"Lily Court, World-Wide Gardens",14/07/2022,
Sha Tin,"Block 2, Wai Wah Centre",14/07/2022,
Sha Tin,Lai Shing Garden,14/07/2022,
Sha Tin,"Block 6, Peak One",14/07/2022,
Sha Tin,"Block 8, Peak One",14/07/2022,
Sha Tin,"King Lam House, Hong Lam Court",14/07/2022,
Sha Tin,Tak On Building,14/07/2022,
Sha Tin,"Yue Sui House, Yue Tin Court",14/07/2022,
Sha Tin,"Block 8, Chevalier Garden, 2 Hang Shun Street, Ma On Shan, Nt",14/07/2022,
Sha Tin,"Tower D, The Grandville",14/07/2022,
Sha Tin,"Hung Sam House, King Tin Court",14/07/2022,
Sha Tin,Hill Lodge,14/07/2022,
Sha Tin,"Yan Chuen House, Shui Chuen O Estate",14/07/2022,
Sha Tin,"Abbey Court, Pictorial Garden",14/07/2022,
Sha Tin,Wo Liu Hang,14/07/2022,
Sha Tin,"Tower 3, Greenhill Villa",14/07/2022,
Sha Tin,Meeco Industrial Building,14/07/2022,
Sha Tin,"Block 10, Monte Vista",14/07/2022,
Sha Tin,"Block 2, Parkview Garden",14/07/2022,
Sha Tin,Chek Nai Ping Village,14/07/2022,
Sha Tin,"Block 18, Double Cove Starview",14/07/2022,
Sha Tin,"Block 23, Double Cove Starview Prime",14/07/2022,
Sha Tin,"Block 5, Phase 1, Double Cove",14/07/2022,
Sha Tin,Tung Lo Wan Hill Road,14/07/2022,
Sha Tin,"Kam Nga House, Kam Ying Court",14/07/2022,
Sha Tin,Heung Fan Liu,14/07/2022,
Sha Tin,Kau To Highland,13/07/2022,
Sha Tin,Paris Park Villa,13/07/2022,
Sha Tin,"Block 3, Grandway Garden",13/07/2022,
Sha Tin,"Dominion Heights, Belair Gardens",13/07/2022,
Sha Tin,"Block N, Sunshine City",13/07/2022,
Sha Tin,"Block 40, City One Shatin",13/07/2022,
Sha Tin,Sha Tin Tau Village,13/07/2022,
Sha Tin,"Block 5, Villa Oceania",13/07/2022,
Sha Tin,"Block 1, Ocean View",13/07/2022,
Sha Tin,"Tower 4, Bayshore Towers",13/07/2022,
Sha Tin,Double Haven,13/07/2022,
Sha Tin,"Block 1, Scenery Court",13/07/2022,
Sha Tin,Tse Uk New Village,13/07/2022,
Sha Tin,"Block 10, Double Cove Summit",13/07/2022,
Sha Tin,"Block 19, Double Cove Starview",13/07/2022,
Sha Tin,"Block 17, Double Cove Starview Prime",13/07/2022,
Sha Tin,"Block 1, Phase 1, Double Cove",13/07/2022,
Sha Tin,Hin Tin,13/07/2022,
Sha Tin,Courtyard By Marriott Hong Kong Sha Tin,13/07/2022,
Sha Tin,Wong Nai Tau Village,13/07/2022,
Sha Tin,"Block 2, Hill Paramount",12/07/2022,
Sha Tin,"Block 3, Chevalier Garden",12/07/2022,
Sha Tin,"Block 4, Chevalier Garden",12/07/2022,
Sha Tin,"Block 8, Castello",12/07/2022,
Sha Tin,"Tower 3B, Seanorama",12/07/2022,
Sha Tin,"Block 13, Pristine Villa",12/07/2022,
Sha Tin,"Tower 2, Court B, Dragons Range",12/07/2022,
Sha Tin,Chik Tat House,12/07/2022,
Sha Tin,"Apex Garden, Shatinpark",12/07/2022,
Sha Tin,"Block 2, Scenery Court",12/07/2022,
Sha Tin,"Block 1, Baycrest",12/07/2022,
Sha Tin,"Golden Peace Court, Golden Lion Garden",12/07/2022,
Sha Tin,To Shek Village,11/07/2022,
Sha Tin,"Tower 5A, Oceanaire",11/07/2022,
Sha Tin,"Yu Ting House, Yu Chui Court",11/07/2022,
Sha Tin,"Cotton Tree Court, New Town Plaza",11/07/2022,
Sha Tin,Kwai Tei Village,11/07/2022,
Sha Tin,"Tower 2, Altissimo",11/07/2022,
Sha Tin,"Block 7, Villa Oceania",11/07/2022,
Sha Tin,"Block C, Garden Vista",11/07/2022,
Sha Tin,"Wo On House, Fung Wo Estate",11/07/2022,
Sha Tin,"Tower 1, Marbella",11/07/2022,
Sha Tin,"Tower 6, Lake Silver",11/07/2022,
Sha Tin,"Kam Yee House, Kam Ying Court",11/07/2022,
Sha Tin,"Block 2, St Barths",11/07/2022,
Sha Tin,"Xuesi Hall, New Asia college, The Chinese University of Hong Kong",11/07/2022,
Southern,"Tower 5, Bel-Air No.8",24/07/2022,
Southern,"Tung On House, Lei Tung Estate",24/07/2022,
Southern,"Tung Ping House, Lei Tung Estate",24/07/2022,
Southern,"Tung Sing House, Lei Tung Estate",24/07/2022,
Southern,"Tung Cheong House, Lei Tung Estate",24/07/2022,
Southern,"Tung Yip House, Lei Tung Estate",24/07/2022,
Southern,"Tung Hing House, Lei Tung Estate",24/07/2022,
Southern,"Tung Mau House, Lei Tung Estate",24/07/2022,
Southern,"Block 1, South Wave Court",24/07/2022,
Southern,"Block 2, South Wave Court",24/07/2022,
Southern,Ka Fook Court,24/07/2022,
Southern,"Ka Ping House, Ka Lung Court",24/07/2022,
Southern,Pine Crest,24/07/2022,
Southern,"Berkeley Court, South Horizons",24/07/2022,
Southern,"Pak King Court, South Horizons",24/07/2022,
Southern,"Hoi Ning Court, South Horizons",24/07/2022,
Southern,"Hoi Sing Court, South Horizons",24/07/2022,
Southern,"Mei Hay Court, South Horizons",24/07/2022,
Southern,"Mei Chun Court, South Horizons",24/07/2022,
Southern,Ocean House,24/07/2022,
Southern,"Tower 1, Sham Wan Towers",24/07/2022,
Southern,"Tower 2, Sham Wan Towers",24/07/2022,
Southern,"Tse On House, Yue On Court",24/07/2022,
Southern,"Ngan On House, Yue On Court",24/07/2022,
Southern,"Yuk Fai House, Yue Fai Court",24/07/2022,
Southern,"Tin Kin House, Tin Wan Estate",24/07/2022,
Southern,"Tin Hong House, Tin Wan Estate",24/07/2022,
Southern,"Tin Chak House, Tin Wan Estate",24/07/2022,
Southern,"Tin Lai House, Tin Wan Estate",24/07/2022,
Southern,South Coast,24/07/2022,
Southern,"Pik Yuen House, Shek Pai Wan Estate",24/07/2022,
Southern,"Pik Shan House, Shek Pai Wan Estate",24/07/2022,
Southern,"Pik Long House, Shek Pai Wan Estate",24/07/2022,
Southern,Shek O village,24/07/2022,
Southern,"Block 41, Baguio Villa",24/07/2022,
Southern,"Fu On Yuen, Chi Fu Fa Yuen",24/07/2022,
Southern,"Fu Heng Yuen, Chi Fu Fa Yuen",24/07/2022,
Southern,"Fu Ming Yuen, Chi Fu Fa Yuen",24/07/2022,
Southern,"Fu Yip Yuen, Chi Fu Fa Yuen",24/07/2022,
Southern,"Fu Hing Yuen, Chi Fu Fa Yuen",24/07/2022,
Southern,"Fu Lai Yuen, Chi Fu Fa Yuen",24/07/2022,
Southern,"Wah Kee House, Wah Fu Estate",24/07/2022,
Southern,"Wah On House, Wah Fu Estate",24/07/2022,
Southern,"Wah Hong House, Wah Fu Estate",24/07/2022,
Southern,"Wah Lok House, Wah Fu Estate",24/07/2022,
Southern,"Wah Tai House, Wah Fu Estate",24/07/2022,
Southern,"Wah Ching House, Wah Fu Estate",24/07/2022,
Southern,"Wah Sang House, Wah Fu Estate",24/07/2022,
Southern,"Wah Hing House, Wah Fu Estate",24/07/2022,
Southern,"Wah Yu House, Wah Fu Estate",24/07/2022,
Southern,World Fair Court,24/07/2022,
Southern,"Wah Sin House, Wah Kwai Estate",24/07/2022,
Southern,"Wah Lim House, Wah Kwai Estate",24/07/2022,
Southern,"Wah Oi House, Wah Kwai Estate",24/07/2022,
Southern,"Wah Yin House, Wah Kwai Estate",24/07/2022,
Southern,Pok Fu Lam Village,24/07/2022,
Southern,"Block 5, Pokfulam Gardens",24/07/2022,
Southern,"Tower 7, Bel-Air On The Peak",24/07/2022,
Southern,"Block 1, Grandview Garden",24/07/2022,
Southern,"Block 2, Grandview Garden",24/07/2022,
Southern,Kam Tseuk Mansion,24/07/2022,
Southern,"Tower 16, Hong Kong Parkview",24/07/2022,
Southern,"Block 1, Broadview Court",24/07/2022,
Southern,"Block 2, Broadview Court",24/07/2022,
Southern,"Block 3, Broadview Court",24/07/2022,
Southern,"Hoi Tin Court, Aberdeen Centre",24/07/2022,
Southern,"Hoi Chu Court, Aberdeen Centre",24/07/2022,
Southern,"Kong Fu Court, Aberdeen Centre",24/07/2022,
Southern,"Kong Wing Court, Aberdeen Centre",24/07/2022,
Southern,"Kin Ma House, Ma Hang Estate",24/07/2022,
Southern,"Block A, Ap Lei Chau Centre",24/07/2022,
Southern,"Lei Ning House, Ap Lei Chau Estate",24/07/2022,
Southern,"Lei Yee House, Ap Lei Chau Estate",24/07/2022,
Southern,"Lei Tim House, Ap Lei Chau Estate",24/07/2022,
Southern,"Lei Moon House, Ap Lei Chau Estate",24/07/2022,
Southern,"Lei Chak House, Ap Lei Chau Estate",24/07/2022,
Southern,"Lei Fook House, Ap Lei Chau Estate",24/07/2022,
Southern,"Hung Chak House, Hung Fuk Court",24/07/2022,
Southern,"Hung Lai House, Hung Fuk Court",24/07/2022,
Southern,"Yi Tak House, Lung Tak Court",24/07/2022,
Southern,"Chun Tak House, Lung Tak Court",24/07/2022,
Southern,"Lung Chun House, Lung Yan Court",24/07/2022,
Southern,"Tower 6, Bel-Air No.8",23/07/2022,
Southern,Yen Ching Building,23/07/2022,
Southern,"Tung Yat House, Lei Tung Estate",23/07/2022,
Southern,Jadewater,23/07/2022,
Southern,"Block B, Ka Wo Building",23/07/2022,
Southern,"Ka Kit House, Ka Lung Court",23/07/2022,
Southern,Yee Hing Building,23/07/2022,
Southern,Bayshore Apartments,23/07/2022,
Southern,"Yee King Court, South Horizons",23/07/2022,
Southern,"Yee Fai Court, South Horizons",23/07/2022,
Southern,"Yee Lok Court, South Horizons",23/07/2022,
Southern,"Yee Tsui Court, South Horizons",23/07/2022,
Southern,"Yee Fung Court, South Horizons",23/07/2022,
Southern,"Yee Ngar Court, South Horizons",23/07/2022,
Southern,"Yee Lai Court, South Horizons",23/07/2022,
Southern,"Mei Fai Court, South Horizons",23/07/2022,
Southern,"Mei Wah Court, South Horizons",23/07/2022,
Southern,"Fung King Court, South Horizons",23/07/2022,
Southern,"Tower 8, Marinella",23/07/2022,
Southern,"Tower 3, Sham Wan Towers",23/07/2022,
Southern,Albert House,23/07/2022,
Southern,"Block 1, Waterfront South",23/07/2022,
Southern,"Hoy Au Lau, Yue Kwong Chuen",23/07/2022,
Southern,"Ching Hoy Lau, Yue Kwong Chuen",23/07/2022,
Southern,Jumbo Court,23/07/2022,
Southern,"Pik Yuet House, Shek Pai Wan Estate",23/07/2022,
Southern,"Pik Luk House, Shek Pai Wan Estate",23/07/2022,
Southern,"Pik Ngan House, Shek Pai Wan Estate",23/07/2022,
Southern,"Block 43, Baguio Villa",23/07/2022,
Southern,"Fu Cheong Yuen, Chi Fu Fa Yuen",23/07/2022,
Southern,May Court,23/07/2022,
Southern,"Wah Shun House, Wah Fu Estate",23/07/2022,
Southern,"Wah Ming House, Wah Fu Estate",23/07/2022,
Southern,"Wah King House, Wah Fu Estate",23/07/2022,
Southern,"Wah Mei House, Wah Fu Estate",23/07/2022,
Southern,"Wah Chui House, Wah Fu Estate",23/07/2022,
Southern,"Wah Hau House, Wah Kwai Estate",23/07/2022,
Southern,"Block 1, Pokfulam Gardens",23/07/2022,
Southern,"Block 1, Stanley Prison Staff Quarters",23/07/2022,
Southern,Crane Court,23/07/2022,
Southern,Kam Fung Building,23/07/2022,
Southern,Twin Brook,23/07/2022,
Southern,"Hoi Shan Court, Aberdeen Centre",23/07/2022,
Southern,"Mei Kwong Court, Aberdeen Centre",23/07/2022,
Southern,"Kwun King Court, Aberdeen Centre",23/07/2022,
Southern,"Ying Ma House, Ma Hang Estate",23/07/2022,
Southern,"Shing Tak House, Lung Tak Court",23/07/2022,
Southern,Command Tower,22/07/2022,
Southern,Siu Kwan Mansion,22/07/2022,
Southern,Dor Fook Mansion,22/07/2022,
Southern,Big Wave Bay Village,22/07/2022,
Southern,Yee On Building,22/07/2022,
Southern,Aegean Terrace,22/07/2022,
Southern,"Block 2, CSD Staff Quarters",22/07/2022,
Southern,"Block L, Csd Staff Quarters",22/07/2022,
Southern,Stanford Villa,22/07/2022,
Southern,"Eaton Court, South Horizons",22/07/2022,
Southern,"Choi On House, Yue On Court",22/07/2022,
Southern,"Pik On House, Yue On Court",22/07/2022,
Southern,"Har On House, Yue On Court",22/07/2022,
Southern,"Tin Fai House, Yue Fai Court",22/07/2022,
Southern,"Yat Fai House, Yue Fai Court",22/07/2022,
Southern,"King Fai House, Yue Fai Court",22/07/2022,
Southern,Jumbo Building,22/07/2022,
Southern,9 Tin Wan Street,22/07/2022,
Southern,"Pik Wai House, Shek Pai Wan Estate",22/07/2022,
Southern,"Block 27, Baguio Villa",22/07/2022,
Southern,"Block A, Abba House",22/07/2022,
Southern,"Fu Yar Yuen, Chi Fu Fa Yuen",22/07/2022,
Southern,"Yar Chee Villas, Chi Fu Fa Yuen",22/07/2022,
Southern,"Tower 1, Bel-Air On The Peak",22/07/2022,
Southern,"Tower 9, Bel-Air on the Peak",22/07/2022,
Southern,"Tower 3, Ocean Court",22/07/2022,
Southern,Kam Fat Building,22/07/2022,
Southern,"Kong Cheung Court, Aberdeen Centre",22/07/2022,
Southern,"Mei Fung Court, Aberdeen Centre",22/07/2022,
Southern,"Leung Ma House, Ma Hang Estate",22/07/2022,
Southern,Port Centre,21/07/2022,
Southern,"Block 3, South Wave Court",21/07/2022,
Southern,"Tower 1, Marina Habitat",21/07/2022,
Southern,"Tower 1, Jing Hui Garden",21/07/2022,
Southern,Yip Yee Mansion,21/07/2022,
Southern,Happy View Building,21/07/2022,
Southern,"Dover Court, South Horizons",21/07/2022,
Southern,"Albany Court, South Horizons",21/07/2022,
Southern,"Fenton Court, South Horizons",21/07/2022,
Southern,"Yee Moon Court, South Horizons",21/07/2022,
Southern,"Yee Mei Court, South Horizons",21/07/2022,
Southern,"Mei Ka Court, South Horizons",21/07/2022,
Southern,"Mei Hong Court, South Horizons",21/07/2022,
Southern,"Tower 9, Marinella",21/07/2022,
Southern,"Tower 2, 37 Repulse Bay Road",21/07/2022,
Southern,Comfort Centre,21/07/2022,
Southern,"Shun Fung Lau, Yue Kwong Chuen",21/07/2022,
Southern,68 Tin Wan Street,21/07/2022,
Southern,Pat Leung Building,21/07/2022,
Southern,"Block 24, Baguio Villa",21/07/2022,
Southern,"Block 33, Baguio Villa",21/07/2022,
Southern,"Block 42, Baguio Villa",21/07/2022,
Southern,"Fu Kar Yuen, Chi Fu Fa Yuen",21/07/2022,
Southern,"Block 5, Hong Kong Parkview",21/07/2022,
Southern,"Hoi Chun Court, Aberdeen Centre",21/07/2022,
Southern,"Kwun Chiu Court, Aberdeen Centre",21/07/2022,
Southern,"Chun Ma House, Ma Hang Estate",21/07/2022,
Southern,"Block B, Ap Lei Chau Centre",21/07/2022,
Southern,Hip Sing Mansion,20/07/2022,
Southern,South View Garden,20/07/2022,
Southern,"Ka Sing House, Ka Lung Court",20/07/2022,
Southern,Regalia Bay,20/07/2022,
Southern,"Tower 2, Marina Habitat",20/07/2022,
Southern,"Tower 3, Marina Habitat",20/07/2022,
Southern,"Block 6, Stanford Villa",20/07/2022,
Southern,"Block 1, Pacific View",20/07/2022,
Southern,Seaview Court,20/07/2022,
Southern,"Yee Wan Court, South Horizons",20/07/2022,
Southern,"Hoi Yat Court, South Horizons",20/07/2022,
Southern,"Hoi Wan Court, South Horizons",20/07/2022,
Southern,Hoi Fai Mansion,20/07/2022,
Southern,"Hoy Kong Lau, Yue Kwong Chuen",20/07/2022,
Southern,Tin Wan Court,20/07/2022,
Southern,33 Bisney Road,20/07/2022,
Southern,"Fu Yi Yuen, Chi Fu Fa Yuen",20/07/2022,
Southern,"Fu Wing Yuen, Chi Fu Fa Yuen",20/07/2022,
Southern,"Wah Cheong House, Wah Fu Estate",20/07/2022,
Southern,"Wah Lai House, Wah Kwai Estate",20/07/2022,
Southern,Man King Building,20/07/2022,
Southern,"Block 2, Pokfulam Gardens",20/07/2022,
Southern,"Tower 6, Residence Bel-Air",20/07/2022,
Southern,The Arca,20/07/2022,
Southern,Shun Fung Court,20/07/2022,
Southern,"Kong Tai Court, Aberdeen Centre",20/07/2022,
Southern,Hong Kong Ocean Park Marriott Hotel,20/07/2022,
Southern,"Block B, Hong Kong Police College",20/07/2022,
Southern,"Lung Tan House, Lung Yan Court",20/07/2022,
Southern,The Aberdeen By Dash Living,19/07/2022,
Southern,Billion Court,19/07/2022,
Southern,Warwick House,19/07/2022,
Southern,"Block A, Ka Wo Building",19/07/2022,
Southern,Kin Fai Building,19/07/2022,
Southern,"Block D, CSD Staff Quarters",19/07/2022,
Southern,"Grosvenor Court, South Horizons",19/07/2022,
Southern,"Tower 3, 37 Repulse Bay Road",19/07/2022,
Southern,"Wu On House, Yue On Court",19/07/2022,
Southern,185 Aberdeen Main Road,19/07/2022,
Southern,"47 Main Street, Ap Lei Chau",19/07/2022,
Southern,"78 Main Street, Ap Lei Chau",19/07/2022,
Southern,L'Hotel Island South,18/07/2022,
Southern,13-15 Wai Fung Street,18/07/2022,
Southern,Hung Shing Lau,18/07/2022,
Southern,"Wai King Court, South Horizons",18/07/2022,
Southern,"On Fai House, Yue Fai Court",18/07/2022,
Southern,"Mei Fai House, Yue Fai Court",18/07/2022,
Southern,"Block 23, Baguio Villa",18/07/2022,
Southern,"Fu Yan Yuen, Chi Fu Fa Yuen",18/07/2022,
Southern,"Fu Sing Yuen, Chi Fu Fa Yuen",18/07/2022,
Southern,Hing Fu Building,18/07/2022,
Southern,"Block 2, Grand Garden",18/07/2022,
Southern,"Hoi Tsing Court, Aberdeen Centre",18/07/2022,
Southern,"108 Main Street, Ap Lei Chau",18/07/2022,
Southern,"Block 3, CSD Staff Quarters",17/07/2022,
Southern,"Block C, Csd Staff Quarters",17/07/2022,
Southern,Ever Secure Mansion,17/07/2022,
Southern,"Cambridge Court, South Horizons",17/07/2022,
Southern,Pelene Mansion,17/07/2022,
Southern,"Block B, Abba House",17/07/2022,
Southern,"Fu Chun Yuen, Chi Fu Fa Yuen",17/07/2022,
Southern,"Wah Kin House, Wah Fu Estate",17/07/2022,
Southern,"Block 6, Pokfulam Gardens",17/07/2022,
Southern,Celestial Garden,17/07/2022,
Southern,"Tower 7, Residence Bel-Air",17/07/2022,
Southern,"Tower 8, Residence Bel-Air",17/07/2022,
Southern,"Tower 1, Ocean Court",17/07/2022,
Southern,"Block 4, Broadview Court",17/07/2022,
Southern,Island Building,17/07/2022,
Southern,"Hoi Ying Court, Aberdeen Centre",17/07/2022,
Southern,Silver Mansion,16/07/2022,
Southern,Ka Wo Building,16/07/2022,
Southern,14 Shouson Hill Road West,16/07/2022,
Southern,"Block H, CSD Staff Quarters",16/07/2022,
Southern,"Tower 2, Jing Hui Garden",16/07/2022,
Southern,"Block 3, Pacific View",16/07/2022,
Southern,"Tower 1, 37 Repulse Bay Road",16/07/2022,
Southern,86 Shek Pan Wan Road,16/07/2022,
Southern,"Block 19, Baguio Villa",16/07/2022,
Southern,"Tower 7, The Redhill Peninsula",16/07/2022,
Southern,"Block 6, Fu Yat Yuen",16/07/2022,
Southern,Wah Lee Building,16/07/2022,
Southern,"Tower 5, Residence Bel-Air",16/07/2022,
Southern,"Tower 6, Hong Kong Parkview",16/07/2022,
Southern,162 Aberdeen Main Road,16/07/2022,
Southern,210 Aberdeen Main Road,16/07/2022,
Southern,"Koon Ma House, Ma Hang Estate",16/07/2022,
Southern,Fortune Mansion,15/07/2022,
Southern,"Tower 2, Marina South",15/07/2022,
Southern,Veng Hing Building,15/07/2022,
Southern,"Block 4, Csd Staff Quarters",15/07/2022,
Southern,Manly House,15/07/2022,
Southern,"Hoi Fai Court, South Horizons",15/07/2022,
Southern,"Shan On House, Yue On Court",15/07/2022,
Southern,"Tower 5, Bel-Air On The Peak",15/07/2022,
Southern,168 Aberdeen Main Road,15/07/2022,
Southern,Hok Tsui Lower Village,15/07/2022,
Southern,Ridge Court,14/07/2022,
Southern,Tsung Man Building,14/07/2022,
Southern,17 Hung Shing Street,14/07/2022,
Southern,61-63 Deep Water Bay Road,14/07/2022,
Southern,Villa Bel-Air,14/07/2022,
Southern,"Hoi Lung Court, Aberdeen Centre",14/07/2022,
Southern,"Kong Hing Court, Aberdeen Centre",14/07/2022,
Southern,"Block E, Hong Kong Police College",14/07/2022,
Southern,"115 Main Street, Ap Lei Chau",14/07/2022,
Southern,Wong Chuk Hang San Wai Village,14/07/2022,
Southern,Turtle Cove,14/07/2022,
Southern,"Tower 9, Larvotto",13/07/2022,
Southern,Tung Nam Building,13/07/2022,
Southern,"Pak Sha Lau, Yue Kwong Chuen",13/07/2022,
Southern,"Pik Fai House, Shek Pai Wan Estate",13/07/2022,
Southern,"Fu Chak Yuen, Chi Fu Fa Yuen",13/07/2022,
Southern,"Tower 2, Bel-Air On The Peak",13/07/2022,
Southern,"Kwun Hoi Court, Aberdeen Centre",13/07/2022,
Southern,Yen Shing Mansion,12/07/2022,
Southern,"Tower 1, Larvotto",12/07/2022,
Southern,"Block 1, Pine Court",12/07/2022,
Southern,"Fu Fai Yuen, Chi Fu Fa Yuen",12/07/2022,
Southern,Wong Chuk Hang San Wai,12/07/2022,
Southern,Ho's Villa,11/07/2022,
Southern,"Mei Cheung Court, South Horizons",11/07/2022,
Southern,Wayland House,11/07/2022,
Southern,Stanley Main Street,11/07/2022,
Southern,"Kong Shing Court, Aberdeen Centre",11/07/2022,
Tai Po,Ha Hang,24/07/2022,
Tai Po,Yuen Leng,24/07/2022,
Tai Po,Yuen Leng Tsuen,24/07/2022,
Tai Po,"Block 2, Eightland Gardens",24/07/2022,
Tai Po,Nam Hang,24/07/2022,
Tai Po,Tung Fuk Building,24/07/2022,
Tai Po,"Tower 1, Solaria",24/07/2022,
Tai Po,"Tower 2, Solaria",24/07/2022,
Tai Po,"Tower 9, Solaria",24/07/2022,
Tai Po,Hang Ha Po,24/07/2022,
Tai Po,Hang Ha Po Village,24/07/2022,
Tai Po,Ping Long,24/07/2022,
Tai Po,Tong Sheung Tsuen,24/07/2022,
Tai Po,"Tai Ling House, Tai Yuen Estate",24/07/2022,
Tai Po,"Tai Tak House, Tai Yuen Estate",24/07/2022,
Tai Po,"Tai Yee House, Tai Yuen Estate",24/07/2022,
Tai Po,"Tai Wing House, Tai Yuen Estate",24/07/2022,
Tai Po,"Tai Lok House, Tai Yuen Estate",24/07/2022,
Tai Po,"Tai Yan House, Tai Yuen Estate",24/07/2022,
Tai Po,"Block 10, Tai Po Centre",24/07/2022,
Tai Po,"Block 12, Tai Po Centre",24/07/2022,
Tai Po,"Block 16, Tai Po Centre",24/07/2022,
Tai Po,"Block 19, Tai Po Centre",24/07/2022,
Tai Po,"Block 5, Tai Po Centre",24/07/2022,
Tai Po,Tai Po Mei,24/07/2022,
Tai Po,"Yee Sing Court, Tai Po Plaza",24/07/2022,
Tai Po,"Yee Hing Court, Tai Po Plaza",24/07/2022,
Tai Po,Tmt 222,24/07/2022,
Tai Po,Tai Wan Building,24/07/2022,
Tai Po,Tai Yeung Che,24/07/2022,
Tai Po,"Tower 10, The Regent",24/07/2022,
Tai Po,"Tower 13, The Regent",24/07/2022,
Tai Po,"Tower 9, The Regent",24/07/2022,
Tai Po,"Block 2, Tai Wo Centre",24/07/2022,
Tai Po,"Hang Wo House, Tai Wo Estate",24/07/2022,
